strDrink,Ingredients
155 Belmont,"['Light Rum', 'Orange Juice', 'Vodka', 'Dark Rum']"
3-Mile Long Island Iced Tea,"['Light Rum', 'Vodka', 'Coca-Cola', 'Sweet And Sour', 'Triple Sec', 'Bitters', 'Lemon', 'Gin', 'Tequila']"
A Gilligan's Island,"['Peach Schnapps', 'Cranberry Juice', 'Orange Juice', 'Vodka']"
A True Amaretto Sour,"['Lemon', 'Maraschino Cherry', 'Amaretto']"
Abbey Cocktail,"['Orange', 'Orange Bitters', 'Cherry', 'Gin']"
Absolutely Cranberry Smash,"['Ginger Ale', 'Cranberry Juice', 'Vodka']"
Absolutely Fabulous,"['Champagne', 'Cranberry Juice', 'Vodka']"
Adam,"['Lemon Juice', 'Dark Rum', 'Grenadine']"
Addington,"['Dry Vermouth', 'Soda Water', 'Sweet Vermouth']"
Addison Special,"['Grenadine', 'Orange Juice', 'Vodka']"
Affinity,"['Orange Bitters', 'Dry Vermouth', 'Scotch', 'Sweet Vermouth']"
Almeria,"['Dark Rum', 'Egg White', 'Kahlua']"
Amaretto And Cream,"['Amaretto', 'Light Cream']"
Amaretto Mist,"['Amaretto', 'Lime']"
Amaretto Rose,"['Amaretto', 'Lime Juice', 'Club Soda']"
Amaretto Sunrise,"['Grenadine', 'Amaretto', 'Orange Juice']"
Artillery,"['Sweet Vermouth', 'Gin', 'Bitters']"
Autodafé,"['Lime Juice', 'Soda Water', 'Vodka']"
Baby Guinness,"[""Bailey'S Irish Cream"", 'Kahlua']"
Balmoral,"['Bitters', 'Sweet Vermouth', 'Dry Vermouth', 'Scotch']"
Bellini,"['Peach Schnapps', 'Champagne']"
Bermuda Highball,"['Dry Vermouth', 'Brandy', 'Lemon Peel', 'Carbonated Water', 'Gin']"
Between The Sheets,"['Triple Sec', 'Brandy', 'Lemon Juice', 'Light Rum']"
Bluebird,"['Maraschino Cherry', 'Triple Sec', 'Gin', 'Blue Curacao', 'Bitters', 'Lemon Peel']"
Boston Sidecar,"['Light Rum', 'Triple Sec', 'Lime', 'Brandy']"
Bourbon Sling,"['Lemon Juice', 'Water', 'Bourbon', 'Sugar', 'Lemon Peel']"
Bourbon Sour,"['Sugar', 'Bourbon', 'Maraschino Cherry', 'Lemon Juice', 'Orange']"
Boxcar,"['Lemon Juice', 'Gin', 'Triple Sec', 'Grenadine', 'Egg White']"
Brandy Cobbler,"['Sugar', 'Club Soda', 'Brandy', 'Lemon', 'Orange', 'Maraschino Cherry']"
Brandy Sour,"['Lemon', 'Sugar', 'Cherry', 'Lemon', 'Brandy']"
Bruce's Puce,"['Kahlua', ""Bailey'S Irish Cream"", 'Grenadine']"
Cafe Savoy,"['Triple Sec', 'Coffee', 'Milk', 'Brandy']"
City Slicker,"['Lemon Juice', 'Triple Sec', 'Brandy']"
