name1,name2,score,source,target,cocktails
Orange Juice,Vodka,17,0,1,"['155 Belmont', ""A Gilligan's Island"", 'Addison Special', 'After sex', 'Apricot punch', 'Arctic Fish', 'Arizona Twister', 'Blue Mountain', 'Bubble Gum', 'Harvey Wallbanger', 'Irish Curdling Cow', 'Orange Crush', 'Orange Whip', 'Pink Penocha', 'Popped cherry', 'San Francisco', 'Screwdriver']"
Bitters,Gin,8,2,3,"['3-Mile Long Island Iced Tea', 'Artillery', 'Bluebird', 'Boomerang', 'Dubonnet Cocktail', 'Gin Swizzle', 'Pink Gin', 'Turf Cocktail']"
Gin,Lemon,8,3,4,"['3-Mile Long Island Iced Tea', 'Clover Club', 'Gin Fizz', 'Gin Rickey', 'Gin Sling', 'Lady Love Fizz', 'Long Island Tea', 'Royal Gin Fizz']"
Gin,Tequila,5,3,5,"['3-Mile Long Island Iced Tea', 'Cherry Electric Lemonade', 'Long Island Iced Tea', 'Long Island Tea', 'Radioactive Long Island Iced Tea']"
Gin,Triple Sec,11,3,6,"['3-Mile Long Island Iced Tea', 'Bluebird', 'Boxcar', 'Cherry Electric Lemonade', 'Flying Dutchman', 'Grass Skirt', 'Hawaiian Cocktail', 'Martinez Cocktail', 'Radioactive Long Island Iced Tea', 'Waikiki Beachcomber', 'White Lady']"
Gin,Vodka,10,3,1,"['3-Mile Long Island Iced Tea', 'AT&T', 'Army special', 'Cherry Electric Lemonade', 'Jitterbug', 'Long Island Iced Tea', 'Long Island Tea', 'National Aquarium', 'Radioactive Long Island Iced Tea', 'Vesper']"
Lemon,Light Rum,8,4,7,"['3-Mile Long Island Iced Tea', 'Chicago Fizz', 'Imperial Fizz', 'Long Island Tea', 'Mississippi Planters Punch', ""Quaker's Cocktail"", 'Shanghai Cocktail', 'Vesuvio']"
Lemon,Tequila,5,4,5,"['3-Mile Long Island Iced Tea', 'Bloody Maria', 'Long Island Tea', 'Tequila Sour', 'Tequila Sour']"
Light Rum,Triple Sec,8,7,6,"['3-Mile Long Island Iced Tea', 'Acapulco', 'Apricot Lady', 'Banana Daiquiri', 'Between The Sheets', 'Boston Sidecar', 'Frozen Daiquiri', 'Mai Tai']"
Tequila,Triple Sec,7,5,6,"['3-Mile Long Island Iced Tea', 'Adam Bomb', 'Cherry Electric Lemonade', ""Gideon's Green Dinosaur"", 'Margarita', 'Radioactive Long Island Iced Tea', 'Strawberry Margarita']"
Tequila,Vodka,7,5,1,"['3-Mile Long Island Iced Tea', 'Adam Bomb', 'Cherry Electric Lemonade', ""Gideon's Green Dinosaur"", 'Long Island Iced Tea', 'Long Island Tea', 'Radioactive Long Island Iced Tea']"
Triple Sec,Vodka,10,6,1,"['3-Mile Long Island Iced Tea', 'Adam Bomb', 'Atomic Lokade', 'Cherry Electric Lemonade', ""Gideon's Green Dinosaur"", 'Kamikaze', 'Kool-Aid Shot', 'Orange Crush', 'Orgasm', 'Radioactive Long Island Iced Tea']"
Blue Curacao,Vodka,5,8,1,"['501 Blue', 'Atomic Lokade', 'Belgian Blue', 'Blue Lagoon', 'National Aquarium']"
Bailey'S Irish Cream,Kahlua,14,9,10,"['747', 'After Five', 'Afternoon', 'B-52', 'Baby Guinness', 'Blind Russian', ""Bruce's Puce"", 'Bumble Bee #1', 'Dirty Nipple', 'Flaming Lamborghini', 'Midnight Manx', 'Oreo Mudslide', 'Quick F**K', 'Screaming Orgasm']"
Amaretto,Orange Juice,5,11,0,"['A Day at the Beach', 'Amaretto Stone Sour', 'Amaretto Stone Sour #3', 'Amaretto Sunrise', 'Lunch Box']"
