strDrink,strCategory,strGlass,strIngredients,strInstructions,rank
Alexander,Ordinary Drink,Cocktail Glass,Creme De Cacao White,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,76
Alexander,Ordinary Drink,Cocktail Glass,Gin,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,76
Alexander,Ordinary Drink,Cocktail Glass,Nutmeg,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,76
Alexander,Ordinary Drink,Cocktail Glass,Light Cream,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,76
Amaretto Sour,Ordinary Drink,Collins Glass,Sour Mix,Shake and strain. Garnish with a cherry and an orange slice.,4
Amaretto Sour,Ordinary Drink,Collins Glass,Amaretto,Shake and strain. Garnish with a cherry and an orange slice.,4
Americano,Ordinary Drink,Collins Glass,Lemon Peel,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",68
Americano,Ordinary Drink,Collins Glass,Campari,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",68
Americano,Ordinary Drink,Collins Glass,Orange Peel,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",68
Americano,Ordinary Drink,Collins Glass,Sweet Vermouth Red,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.",68
Aviation,Cocktail,Cocktail Glass,Gin,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,15
Aviation,Cocktail,Cocktail Glass,Maraschino Liqueur,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,15
Aviation,Cocktail,Cocktail Glass,Lemon Juice,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,15
Baby Guinness,Shot,Shot Glass,Bailey'S Irish Cream,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head"".",31
Baby Guinness,Shot,Shot Glass,Kahlua,"Pour Kahlua, almost filling shot glass. Then, carefully pour Baileys, using wall of shot glass. This will give the ""Guinness"" its ""head"".",31
Bramble,Ordinary Drink,Old-fashioned glass,Creme De Mure,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",30
Bramble,Ordinary Drink,Old-fashioned glass,Lemon Juice,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",30
Bramble,Ordinary Drink,Old-fashioned glass,Sugar Syrup,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",30
Bramble,Ordinary Drink,Old-fashioned glass,Gin,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.",30
Caipirinha,Ordinary Drink,Old-fashioned glass,Cachaca,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,94
Caipirinha,Ordinary Drink,Old-fashioned glass,Sugar,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,94
